Level,Hierarchy,NOC_Code,Class_Title,Class_Definition,Additional information,All examples,Employment requirements,Exclusion(s),Illustrative example(s),Inclusion(s),Main duties
5,Unit Group,10,Legislators,"Legislators participate in the activities of a federal, provincial, territorial or local government legislative body or executive council, band council or school board as elected or appointed members.",,Aboriginal band chief  | Aboriginal band council member  | alderman/woman  | attorney general  | cabinet minister  | city alderman  | city councillor  | city councilman/woman  | councillor  | First Nations band chief  | First Nations band council member  | First Nations government leader  | government leader  | governor general  | leader of the opposition  | legislative body speaker  | legislator  | lieutenant-governor  | mayor  | Member of Legislative Assembly (MLA)  | Member of Parliament (MP)  | Member of the House of Assembly (MHA)  | Member of the National Assembly (MNA)  | Member of the Provincial Parliament (MPP)  | metropolitan council chair  | municipal council chairman/woman  | opposition leader  | orator - government  | premier  | prime minister  | reeve  | regional municipality chair  | school board trustee  | senator  | solicitor general  | Treasury Board president,"Election to a legislative body, or appointment to positions such as senator, lieutenant-governor or governor general, is required. ","Chief executive officer (CEO) - health, education, social and community services and membership organizations  (See 00013 Senior managers - health, education, social and community services and membership organizations) | Commissioner - government services  (See 00011 Senior government managers and officials)",cabinet minister  | city councillor  | First Nations band chief  | governor general  | lieutenant-governor  | mayor  | Member of Legislative Assembly (MLA)  | Member of Parliament (MP)  | Member of the National Assembly (MNA)  | Member of the Provincial Parliament (MPP)  | premier  | prime minister  | school board trustee  | senator,,"This group performs some or all of the following duties:  | Enact, amend or repeal laws and regulations  | Participate in developing or amending government policies, programs or procedures  | Represent their government at local, national and international meetings and conferences  | Respond to matters of concern to constituents or the general public  | May serve as minister responsible for a government department or agency and direct senior government managers and officials in the implementation of government policy and the management of that department or agency. "
5,Unit Group,11,Senior government managers and officials,"Senior government managers and officials plan, organize, direct, control and evaluate, through middle managers, the major activities of municipal or regional governments or of provincial, territorial or federal departments, boards, agencies or commissions. They establish the direction to be taken by these organizations in accordance with legislation and policies made by elected representatives or legislative bodies.",There is mobility among senior management occupations.,ambassador  | assistant chief statistician - government services  | assistant comptroller general - government services  | assistant deputy minister  | assistant deputy minister - government services  | assistant executive director - government services  | assistant general director - government services  | assistant undersecretary of state  | band manager - First Nations  | chairman/woman - government services  | chairperson - government services  | chief - disaster management  | chief administrative officer - government services  | chief administrative officer - regional municipality  | chief coroner  | chief electoral officer  | chief medical examiner  | chief privacy officer - government services  | chief statistician - government services  | city administrator  | city hall clerk  | city manager  | city superintendent  | clerk of the House of Commons  | Clerk of the Privy Council  | commissioner - government services  | commissioner of inquiries  | commissioner of inquiries - government services  | comptroller general - government services  | comptroller general of Canada  | consul  | council secretary - government services  | county clerk  | deputy commissioner - government services  | deputy minister  | deputy minister - government services  | deputy municipal clerk  | deputy provincial secretary - government services  | director general - government services  | employment insurance appeals board chairperson  | employment insurance commissioner  | executive administrator - government agency  | executive administrator - government department  | executive director - emergency preparedness  | executive director - government services  | fire marshal  | First Nations band manager  | general manager - government services  | general secretary - government services  | government agency commissioner  | government agency president  | government agency senior administrator  | grain commissioner  | health commissioner  | high commissioner  | highway commissioner  | Human Rights Commission chairperson  | inspector general of financial institutions  | liquor commissioner  | local government manager  | manager - First Nations  | municipal administrator  | ombudsperson - government services  | parole board chairman/woman  | president - government services  | railroad commissioner  | receiver general for Canada  | regional municipality general director  | secretary to the council - government services  | sergeant-at-arms of the House of Commons  | superintendent of financial institutions  | territorial commissioner  | town clerk  | township clerk  | trade commissioner  | undersecretary of state  | vice-consul  | vice-president - government services,A university degree or college diploma is usually required.  | A graduate degree in a related field may be required.  | Several years of managerial experience in the public or private sector are required.,Legislators  (See 00010 Legislators) | Managers in public administration  (See 4001 Managers in public administration),assistant deputy minister  | chief administrative officer - regional municipality  | chief statistician - government services  | city administrator  | deputy minister  | director general - government services  | executive director - government services  | high commissioner  | Human Rights Commission chairperson,county clerk  | town clerk,"This group performs some or all of the following duties:  | Establish objectives for the organization in accordance with government legislation and policy, formulate or approve and evaluate programs and procedures alone or in conjunction with senior government committees  | Advise elected representatives on policy questions and refer major policy matters to these representatives for final decision  | Recommend, review, evaluate and approve documents, briefs and reports submitted by middle managers and senior staff members  | Coordinate department activities with other senior government managers and officials  | Make presentations to legislative and other government committees regarding policies, programs or budgets  | Allocate human and financial resources to implement organizational policies and programs  | Establish financial and administrative controls. "
5,Unit Group,12,"Senior managers - financial, communications and other business services","Senior managers in financial, communications and other business services are usually appointed by a board of directors, to which they report. They work either alone or in conjunction with the board of directors to develop and establish objectives for the company, and to develop or approve policies and programs. They plan, organize, direct, control and evaluate, through middle managers, the operations of their organization in relation to established objectives. They work in establishments throughout the telecommunications, finance, insurance, real estate, and data processing, hosting and related services industries as well as other business service industries or they may own and operate their own business.",There is mobility among senior management occupations.,"advertising agency president  | assistant executive director - financial, communications and other business services  | bank credit vice-president  | bank president  | chairman/woman - financial, communications and other business services  | chairperson - financial, communications and other business services  | chief diversity officer - financial, communications and other business services  | chief executive officer (CEO) - financial, communications and other business services  | chief executive officer (CEO) - telephone company  | chief financial officer (CFO) - advertising agency  | chief financial officer (CFO) - financial, communications and other business services  | chief learning officer - financial, communications and other business services  | chief operating officer - engineering firm  | chief operating officer - financial, communications and other business services  | chief privacy officer - financial, communications and other business services  | chief sustainability officer - financial, communications and other business services  | compensation vice-president - financial, communications and other business services  | computing services company president  | controller - financial, communications and other business services  | corporate banking vice-president  | corporate controller - financial, communications and other business services  | corporate controller - mortgage brokerage firm  | corporate social responsibility vice-president - financial, communications and other business services  | credit union executive director  | credit union general manager  | deputy chief executive officer - financial, communications and other business services  | deputy chief executive officer - life insurance company  | domestic banking operations vice-president  | employment agency general manager  | engineering firm president  | engineering research general manager  | engineering vice-president - financial, communications and other business services  | executive director - financial, communications and other business services  | executive vice-president - financial, communications and other business services  | executive vice-president - real estate agency  | finance and administration vice-president - financial, communications and other business services  | finance vice-president - financial, communications and other business services  | finance vice-president - holding company  | general manager - financial, communications and other business services  | general manager - real estate management company  | human resources and organizational development vice-president - financial, communications and other business services  | human resources vice-president - bank  | human resources vice-president - financial, communications and other business services  | information systems vice-president - financial, communications and other business services  | insurance company general manager  | international banking operations vice-president  | marketing vice-president - clerical staff services  | marketing vice-president - financial, communications and other business services  | operations vice-president - financial, communications and other business services  | operations vice-president - satellite communication services  | personal banking vice-president  | personnel vice-president - bank  | personnel vice-president - financial, communications and other business services  | planning vice-president - financial, communications and other business services  | president - financial, communications and other business services  | president and chief executive officer  | president and chief executive officer - financial, communications and other business services  | protective services executive director  | real estate management company executive director  | regional vice-president - financial, communications and other business services  | senior vice-president and chief economist  | support services vice-president - financial, communications and other business services  | sustainability vice-president - financial, communications and other business services  | telecommunications general manager  | treasury vice-president - banking institution  | trust company general manager  | trust company regional vice-president  | vice-president - financial, communications and other business services ","A university degree in business administration, commerce, computer science or other discipline related to the service provided is usually required.  | Several years of experience as a middle manager in financial, communications or other business services are usually required.  | Specialization in a particular functional area or service is possible through specific university training in that area or through previous experience.  | Senior managers in finance usually require a professional accounting or financial designation. ","Managers in communication (except broadcasting)  (See 1003 Managers in communication (except broadcasting)) | Managers in engineering, architecture, science and information systems  (See 2001 Managers in engineering, architecture, science and information systems) | Managers in financial and business services  (See 1002 Managers in financial and business services)","advertising agency president  | bank president  | chief executive officer (CEO) - telephone company  | chief financial officer (CFO) - advertising agency  | chief operating officer - engineering firm  | computing services company president  | credit union executive director  | executive vice-president - real estate agency  | general manager - real estate management company  | human resources vice-president - bank  | marketing vice-president - clerical staff services  | operations vice-president - satellite communication services  | president and chief executive officer - financial, communications and other business services  | trust company regional vice-president ",,"This group performs some or all of the following duties:  | Determine the company's mission and strategic direction as conveyed through policies and concrete objectives which are met through the effective management of human, financial and material resources  | Authorize and organize the establishment of major departments and associated senior staff positions  | Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall human resources planning  | Select middle managers, directors or other executive staff; delegate the necessary authority to them and create optimum working conditions  | Represent the organization, or delegate representatives to act on behalf of the organization, in negotiations or other official functions.  | Senior managers in this unit group may specialize in areas such as finance, marketing or human resources or in a particular service area. "
5,Unit Group,13,"Senior managers - health, education, social and community services and membership organizations","Senior managers in health, education, social and community services and membership organizations plan, organize, direct, control and evaluate, through middle managers, membership and other organizations or institutions that deliver health, education, social or community services. They formulate policies which establish the direction to be taken by these organizations, either alone or in conjunction with a board of directors. They are employed in health care organizations, educational services, social and community services and membership organizations or they may own and operate their own business.",There is mobility among senior management occupations.,"academic affairs vice-president - post-secondary education  | academic association president  | academic business vice-president  | alumni association executive director  | arts and culture association chairperson  | arts association executive director  | assistant executive director - health, education, social and community services and membership organizations  | association executive director  | automobile association executive director  | business association general manager  | business association president  | business general manager  | business school general manager  | chairman/woman - health, education, social and community services and membership organizations  | chairperson - health, education, social and community services and membership organizations  | chancellor - education  | charitable organization director  | charitable organization executive director  | chief diversity officer - health, education, social and community services and membership organizations  | chief executive officer (CEO) - health, education, social and community services and membership organizations  | chief financial officer (CFO) - health, education, social and community services and membership organizations  | chief learning officer - health, education, social and community services and membership organizations  | chief nursing officer - health, education, social and community services and membership organizations  | chief operating officer - health, education, social and community services and membership organizations  | chief privacy officer - health, education, social and community services and membership organizations  | chief sustainability officer - health, education, social and community services and membership organizations  | college chancellor  | college president  | community college president  | compensation vice-president - health, education, social and community services and membership organizations  | corporate controller - health, education, social and community services and membership organizations  | corporate social responsibility vice-president - health, education, social and community services and membership organizations  | crafts guild executive director  | cultural association president  | deputy chief executive officer - health, education, social and community services and membership organizations  | director general - health, education, social and community services and membership organizations  | educational institution chief financial officer (CFO)  | educators association chairperson  | environmental group executive director  | ethnic association president  | executive director - health, education, social and community services and membership organizations  | executive director - teacher's federation  | executive general manager - health, education, social and community services and membership organizations  | executive vice-president - health, education, social and community services and membership organizations  | finance and administration vice-president - health, education, social and community services and membership organizations  | finance vice-president - health, education, social and community services and membership organizations  | general manager - health, education, social and community services and membership organizations  | health care association president  | health services institution executive director  | hockey association general manager  | hospital administrator  | hospital executive director  | human resources and organizational development vice-president - health, education, social and community services and membership organizations  | human resources vice-president - health, education, social and community services and membership organizations  | information systems vice-president - health, education, social and community services and membership organizations  | labour organization president  | lobby chief executive officer - health, education, social and community services and membership organizations  | marketing vice-president - health, education, social and community services and membership organizations  | medical vice-president - health services  | membership organization general manager  | music guild president  | non-governmental organization (NGO) executive director  | nurse's association executive director  | nursing vice-president - health, education, social and community services and membership organizations  | operations vice-president - health, education, social and community services and membership organizations  | personnel vice-president - health, education, social and community services and membership organizations  | planning vice-president - health, education, social and community services and membership organizations  | political organization general manager  | political party president  | president - health, education, social and community services and membership organizations  | president and general manager - health, education, social and community services and membership organizations  | professional association executive director  | recreational association executive director  | rector - education  | regional vice-president - health, education, social and community services and membership organizations  | scientific association chairperson  | social services institution corporate controller  | sports association president  | support services vice-president - health, education, social and community services and membership organizations  | sustainability vice-president - health, education, social and community services and membership organizations  | trade school general manager  | union association president  | university president  | vice-president - health, education, social and community services and membership organizations  | voluntary organization executive director  | young men's christian association (YMCA) executive director ","A university degree or college diploma in business administration, hospital administration, finance or other discipline related to the service provided is usually required.  | Several years of experience as a middle manager in a related institution or organization are usually required.  | Specialization in a particular functional area or service is possible through specific university or college training in that area or through previous experience.  | Senior managers in finance usually require a professional accounting designation. ","Administrators - post-secondary education and vocational training  (See 40020 Administrators - post-secondary education and vocational training) | Government managers - education policy development and program administration  (See 40012 Government managers - education policy development and program administration) | Government managers - health and social policy development and program administration  (See 40010 Government managers - health and social policy development and program administration) | Managers in health care  (See 30010 Managers in health care) | Managers in social, community and correctional services  (See 40030 Managers in social, community and correctional services) | Other managers in public administration  (See 40019 Other managers in public administration) | School principals and administrators of elementary and secondary education  (See 40021 School principals and administrators of elementary and secondary education)",arts and culture association chairperson  | automobile association executive director  | business association president  | educational institution chief financial officer (CFO)  | health services institution executive director  | labour organization president  | membership organization general manager  | music guild president  | professional association executive director  | scientific association chairperson  | social services institution corporate controller  | voluntary organization executive director,,"This group performs some or all of the following duties:  | Establish objectives for the organization or institution and formulate or approve policies and programs  | Authorize and organize the establishment of major departments and associated senior staff positions  | Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall personnel planning  | Select middle managers, directors or other executive staff  | Coordinate the work of regions, divisions or departments  | Represent the organization, or delegate representatives to act on behalf of the organization, in negotiations or other official functions.  | Senior managers in this unit group may specialize in areas such as finance, marketing, human resources or in a particular service area. "
5,Unit Group,14,"Senior managers - trade, broadcasting and other services","Senior managers in trade, broadcasting and other customer services plan, organize, direct, control and evaluate, through middle managers, trade, broadcasting and other service industry companies. They formulate policies which establish the direction to be taken by these companies, either alone or in conjunction with a board of directors. They work in establishments in broadcasting and related media services, wholesale trade, retail trade, accommodation and food service, and other services or they may own and operate their own business.",There is mobility among senior management occupations.,"broadcasting corporation president  | casino general manager  | chairman/woman - trade, broadcasting and other services  | chairperson - trade, broadcasting and other services  | chief diversity officer - trade, broadcasting and other services  | chief executive officer (CEO) - trade, broadcasting and other services  | chief financial officer (CFO) - trade, broadcasting and other services  | chief learning officer - trade, broadcasting and other services  | chief operating officer - trade, broadcasting and other services  | chief privacy officer - trade, broadcasting and other services  | chief sustainability officer - trade, broadcasting and other services  | cleaning service general manager  | compensation vice-president - trade, broadcasting and other services  | corporate controller - trade, broadcasting and other services  | corporate social responsibility vice-president - trade, broadcasting and other services  | department store president  | deputy chief executive officer (CEO) - trade, broadcasting and other services  | engineering vice-president - television broadcasting services  | engineering vice-president - trade, broadcasting and other services  | executive director - trade, broadcasting and other services  | executive vice-president - metal and metal products wholesaler  | executive vice-president - trade, broadcasting and other services  | finance and administration vice-president - trade, broadcasting and other services  | finance vice-president - food wholesaling  | finance vice-president - trade, broadcasting and other services  | funeral services general manager  | hotel chain regional vice-president  | hotel general manager  | human resources and organizational development vice-president - trade, broadcasting and other services  | human resources vice-president - trade, broadcasting and other services  | information systems vice president - trade, broadcasting and other services  | laundry and dry cleaning general manager  | marketing vice-president - grocery store chain  | marketing vice-president - trade, broadcasting and other services  | operations manager - trade, broadcasting and other services  | operations vice-president - radio broadcasting services  | operations vice-president - trade, broadcasting and other services  | personnel vice-president - trade, broadcasting and other services  | planning vice-president - trade, broadcasting and other services  | president - trade, broadcasting and other services  | president and director - trade, broadcasting and other services  | president and general manager - trade, broadcasting and other services  | professional sports club chief financial officer (CFO)  | radio station general manager  | regional vice-president - trade, broadcasting and other services  | restaurant chain corporate controller  | retail establishment president  | sales and advertising vice-president - trade, broadcasting and other services  | sales general manager - trade, broadcasting and other services  | sales vice-president - trade, broadcasting and other services  | support services vice-president - trade, broadcasting and other services  | sustainability vice-president - trade, broadcasting and other services  | travel agency chief executive officer (CEO)  | vice-president - trade, broadcasting and other services  | vice-president and general sales manager - trade, broadcasting and other services  | wholesaler - broadcasting ","A university degree or college diploma in business administration, finance or other discipline related to the service provided is usually required.  | Several years of experience as a middle manager in trade, broadcasting or other service are usually required.  | Specialization in a particular functional area or service is possible through specific university or college training in that area or through previous experience.  | Senior managers in finance usually require a professional accounting designation. ","Managers in art, culture, recreation and sport  (See 5001 Managers in art, culture, recreation and sport) | Managers in customer and personal services  (See 60040 Managers in customer and personal services) | Managers in food service and accommodation  (See 6003 Managers in food service and accommodation) | Retail and wholesale trade managers  (See 6002 Retail and wholesale trade managers)",cleaning service general manager  | department store president  | engineering vice-president - television broadcasting services  | finance vice-president - food wholesaling  | hotel chain regional vice-president  | marketing vice-president - grocery store chain  | operations vice-president - radio broadcasting services  | professional sports club chief financial officer (CFO)  | restaurant chain corporate controller  | travel agency chief executive officer (CEO),,"This group performs some or all of the following duties:  | Establish objectives for the company and formulate or approve policies and programs  | Authorize and organize the establishment of major departments and associated senior staff positions  | Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall personnel planning  | Select middle managers, directors or other executive staff  | Coordinate the work of regions, divisions or departments  | Represent the company, or delegate representatives to act on behalf of the company, in negotiations or other official functions.  | Senior managers in this unit group may specialize in areas such as finance, marketing or human resources or in the sale of a particular product or provision of a particular service. "
5,Unit Group,15,"Senior managers - construction, transportation, production and utilities","Senior managers in construction, transportation, production and utilities plan, organize, direct, control and evaluate, through middle managers, the overall operations of goods production, utility, transportation and construction companies. They formulate policies which establish the direction to be taken by these companies, either alone or in conjunction with other members of a board of directors. They work in establishments throughout the following industries: fishing, forestry, logging and agriculture; mining, oil and gas extraction; construction; transportation and warehousing; printing; manufacturing; and utilities or they may own and operate their own business.",There is mobility among senior management occupations.,"assistant executive director - goods production, utilities, transportation and construction  | building construction general manager  | chief diversity officer - goods production, utilities, transport and construction  | chief executive officer (CEO) - goods production, utilities, transportation and construction  | chief executive officer (CEO) - manufacturing company  | chief financial officer (CFO) - goods production, utilities, transportation and construction  | chief financial officer (CFO) - urban transit system  | chief learning officer - goods production, utilities, transportation and construction  | chief operating officer - airline  | chief operating officer - goods production, utilities, transportation and construction  | chief privacy officer - construction, transportation, production and utilities  | chief sustainability officer - goods production, transportation and utilities  | compensation vice-president - goods production, utilities, transport and construction  | construction general manager  | corporate controller - goods production, utilities, transportation and construction  | corporate social responsibility vice-president - goods production, utilities, transport and construction  | deputy chief executive officer - goods production, utilities, transportation and construction  | electric power company president  | energy operations vice-president  | engineering vice-president - goods production, utilities, transportation and construction  | executive director - goods production, utilities, transportation and construction  | executive vice-president - goods production, utilities, transportation and construction  | executive vice-president - railway  | feed and flour mills general manager  | finance and administration vice-president - goods production, utilities, transportation and construction  | finance vice-president - goods production, utilities, transportation and construction  | finance vice-president - mining company  | gas distribution general manager  | general manager - goods production, utilities, transportation and construction  | highway construction general manager  | human resources and organizational development vice-president - goods production, utilities, transportation and construction  | human resources vice-president - goods production, utilities, transportation and construction  | hydro-electric power station president  | information systems vice-president - goods production, utilities, transportation and construction  | logging company corporate controller  | logistics vice-president - goods production, utilities, transportation and construction  | manufacturing company chief executive officer  | marketing vice-president - airline  | marketing vice-president - goods production, utilities, transportation and construction  | operations vice-president - electric power company  | operations vice-president - goods production, utilities, transportation and construction  | personnel vice-president - goods production, utilities, transportation and construction  | petroleum production company regional vice-president  | planning vice-president - goods production, utilities, transportation and construction  | plant operations vice-president  | president - goods production, utilities, transportation and construction  | production general manager - goods production, utilities, transportation and construction  | project executive - construction  | publisher  | publishing house general manager  | regional vice-president - goods production, utilities, transportation and construction  | residential construction company president  | sales vice-president - goods production, utilities, transportation and construction  | sales vice-president - pulp and paper manufacturing  | support services vice-president - goods production, utilities, transportation and construction  | sustainability vice-president - goods production, utilities, transport and construction  | transit system general manager  | transport and communications general manager  | trucking company general manager  | vice-president - goods production, utilities, transportation and construction ","A university degree or college diploma in engineering, business administration, commerce or other discipline related to the company's product is usually required.  | Several years of experience as a middle manager in goods production, utilities, transportation or construction are usually required.  | Specialization in a particular functional area or product is possible through specific university or college training in that area or through previous experience.  | Senior managers in finance usually require a professional accounting designation. ",Managers in construction and facility operation and maintenance  (See 7001 Managers in construction and facility operation and maintenance) | Managers in manufacturing and utilities  (See 9001 Managers in manufacturing and utilities) | Managers in natural resources production and fishing  (See 80010 Managers in natural resources production and fishing),chief executive officer (CEO) - manufacturing company  | chief financial officer (CFO) - urban transit system  | executive vice-president - railway  | finance vice-president - mining company  | logging company corporate controller  | marketing vice-president - airline  | operations vice-president - electric power company  | petroleum production company regional vice-president  | publishing house general manager  | residential construction company president  | trucking company general manager,,"This group performs some or all of the following duties:  | Establish objectives for the company and formulate or approve policies and programs  | Authorize and organize the establishment of major departments and associated senior staff positions  | Allocate material, human and financial resources to implement company policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall personnel planning  | Select middle managers, directors or other executive staff  | Coordinate the work of regions, divisions or departments  | Represent the company, or delegate representatives to act on behalf of the company, in negotiations or other official functions.  | Senior managers in this unit group may specialize in areas such as finance, marketing or human resources or in a particular product area. "
5,Unit Group,10010,Financial managers,"Financial managers plan, organize, direct, control and evaluate the operation of financial and accounting departments. They develop and implement the financial policies and systems of establishments. Financial managers establish performance standards and prepare various financial reports for senior management. They are employed in financial and accounting departments in companies throughout the public and private sectors and in government.","Progression to senior management positions, such as vice-president of finance, is possible with experience. ","accounting and financial control chief  | accounting and financial control director  | accounting department manager  | accounting director  | accounting manager  | accounting manager - financial services department  | accounting office manager  | assigned public accountants chief  | assistant accounting manager  | assistant treasurer - finances  | assistant vice-president - financial, communications and other business services  | audit and compliance director  | auditing department manager  | budget and sectoral profitability director  | collections department manager  | comptroller  | controller - financial services  | corporate budgeting and analysis manager  | corporate financing manager  | corporate risk department manager  | director - financial services  | director of accounting  | director-treasurer - financial services  | finance and control manager  | finance chief  | finance director  | finance manager  | financial administrator  | financial aid director - post-secondary education  | financial audit manager  | financial centre manager  | financial control manager  | financial controller  | financial director  | financial evaluations director  | financial manager  | financial planning and advisory service manager  | financial planning and analysis manager  | financial planning and reporting director  | financial planning and reporting manager  | financial resources service coordinator  | financing and administration director  | group accounting manager  | independent public accountants chief  | internal audit manager  | internal audit services manager  | investments research director  | manager of accounting department  | manager of auditing department  | pension plans administrator  | pension services manager  | regional controller - financial services  | revenue accounting and controls section chief  | treasurer  | treasurer and controller - finances ","A bachelor's degree in business administration, economics, commerce or a related field is required.  | A master's degree in business administration (concentration in finance), or another master's level management program may be required.  | Several years of experience in accounting, auditing, budgeting, financial planning and analysis or other financial activities are required.  | Accounting and audit managers may require a recognized accounting designation (CPA, CA, CPA, CMA or CPA, CGA).  | Investment, treasury, or corporate finance managers may require a recognized financial designation (CFA, CFP, CIM or others). ","Accounting firm manager  (See 10029 Other business services managers) | Audit firm manager  (See 10029 Other business services managers) | Banking, credit and other investment managers  (See 10021 Banking, credit and other investment managers) | Senior managers - financial, communications and other business services  (See 00012 Senior managers - financial, communications and other business services)",controller - financial services  | director - financial services  | director of accounting  | finance director  | financial administrator  | financial control manager  | financial planning and analysis manager  | internal audit services manager  | treasurer,corporate risk department manager  | pension plans administrator  | pension services manager,"This group performs some or all of the following duties:  | Plan, organize, direct, control and evaluate the operation of an accounting, audit or other financial department  | Develop and implement the financial policies, systems and procedures of an establishment  | Prepare or coordinate the preparation of financial statements, summaries, and other cost-benefit analyses and financial management reports  | Co-ordinate the financial planning and budget process, and analyze and correct estimates  | Supervise the development and implementation of financial simulation models  | Evaluate financial reporting systems, accounting procedures and investment activities and make recommendations for changes to procedures, operating systems, budgets and other financial control functions to senior managers and other department or regional managers  | Recruit, organize, train and manage staff  | Act as liaison between the organization and its shareholders, the investing public and external financial analysts  | Establish profitability standards for investment activities and handle mergers and/or acquisitions  | Notify and report to senior management concerning any trends that are critical to the organization's financial performance. "
5,Unit Group,10011,Human resources managers,"Human resources managers plan, organize, direct, control and evaluate the operations of human resources and personnel departments, and develop and implement policies, programs and procedures regarding human resource planning, recruitment, collective bargaining, training and development, occupation classification and pay and benefit administration. They represent management and participate actively on various joint committees to maintain ongoing relations between management and employees. They are employed throughout the private and public sectors.",Progression to senior management positions is possible with experience.  | Other joint committees led by human resources managers may focus on issues such as alcohol or drug addiction.,benefits manager  | chief safety officer - occupational health and safety  | classification and compensation chief  | compensation director  | compensation manager  | disability management program manager  | employee benefits director  | employee benefits manager  | employer-employee relations manager  | employment equity chief  | employment equity director - human resources  | employment equity manager - human resources  | employment manager  | human resources development and planning director  | human resources development director  | human resources director  | human resources management director  | human resources manager  | human resources planning manager  | industrial relations manager  | job evaluation and salary research manager  | labour relations director  | labour relations manager  | language training director  | occupational health and safety director  | occupational health and safety manager  | occupational training director - human resources  | official languages chief  | official languages manager  | pay and benefits director  | pay and benefits manager  | pay services director - human resources  | pay-processing division director - government services  | pensions and benefits manager  | personnel administration manager  | personnel and industrial relations director  | personnel chief  | personnel director  | personnel manager  | personnel services director  | personnel services manager  | personnel training and development manager  | recruiting director  | recruiting manager  | salary research and administration manager  | staff relations chief  | staff relations manager  | staff training and development chief  | staff training and development manager  | staffing chief  | training and development manager  | training chief  | vocational training director - human resources  | wage and salary administration manager,"A bachelor's degree in a field related to personnel management, such as business administration, industrial relations, commerce or psychology  or completion of a professional development program in personnel administration is required.  | Several years of experience as a personnel officer or human resource specialist are required.  | Some employers may require human resources managers to hold a Certified Human Resources Professional (CHRP) designation. ",Human resources and recruitment officers  (See 12101 Human resources and recruitment officers) | Human resources professionals  (See 11200 Human resources professionals),employer-employee relations manager  | human resources manager  | industrial relations manager  | occupational health and safety manager  | pay and benefits manager  | personnel director  | personnel services manager  | personnel training and development manager  | recruiting manager  | staff relations manager,,"This group performs some or all of the following duties:  | Plan, organize, direct, control and evaluate the operations of human resources or personnel departments  | Plan human resource requirements in conjunction with other departmental managers  | Coordinate internal and external training and recruitment activities  | Develop and implement labour relations policies and procedures and negotiate collective agreements  | Administer employee development, language training and health and safety programs  | Advise and assist other departmental managers on interpretation and administration of personnel policies and programs  | Oversee the classification and rating of occupations  | Organize and conduct employee information meetings on employment policy, benefits and compensation and participate actively on various joint committees  | Direct the organization's quality management program  | Ensure compliance with legislation such as the Pay Equity Act. "
